Checkout_Kiosk_Coordinates,Total_Trips,Wt_Average_Duration,Wt_Average_Bicycling_google_maps,Wt_Average_Transit_google_maps,BT_divided_by_TT
13th & F St.,4681.0,7.184362315744499,6.738574378694011,14.488513850316885,0.4958660625904959
11th & K St. ,2569.0,7.243285325029194,7.586207343973012,11.639412222654729,0.6223067957788283
21st & L St.,2109.0,8.376955903271693,6.549952584163111,15.319859333017227,0.5468037089098952
14th & L St. ,1803.0,4.831946755407654,4.2086984655204285,11.056757256424477,0.4370130087282213
13th & M St.,1277.0,5.50822239624119,4.3643304620203605,9.904241712346646,0.5561478158771741
11th & N St.,18319.0,5.38440962934658,4.583535309423731,7.624624706588787,0.7061868402117766
18th & N St. ,3882.0,6.441524987120041,5.303086896788597,12.303177056500086,0.5235659827976561
14th & N St. ,1648.0,5.233009708737864,3.8939826051779938,9.378428398058253,0.5579836499920741
14th & P St. ,3048.0,5.31003937007874,4.551574803149607,9.995445100612423,0.5312459141767876
8th & P St. ,3118.0,6.384541372674792,5.767896087235407,8.958258499037845,0.7126989440370044
Canopy & P St. ,2817.0,8.077742279020235,7.073861081528813,14.723677671281505,0.5486225968377351
11th & P St. ,2885.0,5.280069324090121,4.188220681686886,7.574003466204506,0.6971305661068142
21st & Q St.,11282.0,6.507888672221237,5.584884476747622,8.789524611475507,0.7404141816412471
12th & Q St. ,8733.0,4.9307225466620865,4.094179167143785,6.631871445475018,0.7434888609046184
7th & R St.,3887.0,7.287368150244404,6.595081896921362,12.539297658862877,0.5811623863234185
14th & R St.,24548.0,5.478002281244908,4.550548585085004,8.115947667155504,0.6749676693226943
19th & S St.,7734.0,6.830230152573054,5.64208257908801,11.315003016981295,0.60364368814771
14th & Avery Ave.,8916.0,6.740242261103634,5.25310303574099,12.532686556004187,0.5378130404030973
Dairy Store Dr. & E. Campus Loop,1324.0,18.641238670694865,14.363255287009064,20.35806898288016,0.9156683124696631
N 19th & Transformation Dr.,2740.0,10.853649635036497,8.63066301703163,21.039245742092458,0.5158763659156275
