Checkout_Kiosk_Coordinates,Total_Trips,Wt_Average_Duration,Wt_Average_Bicycling_google_maps,Wt_Average_Transit_google_maps,BT_divided_by_TT
Walnut Creek Recreation Area (Papillion),180.0,19.97222222222222,17.404537037037038,26.62490740740741,0.7501330208068885
36th & Raynor Parkway (Bellevue),920.0,37.24673913043478,33.951485507246375,0.0,inf
Prairie Queen Recreation Area (Papillion),260.0,24.473076923076924,22.545576923076922,0.0,inf
Papillion Landing,649.0,21.522342064714945,18.6379301489471,15.0185927067283,1.4330465233984924
First Street Plaza (Papillion),686.0,25.591836734693878,22.256462585034015,20.217249757045675,1.265841647218864
Chalco Hills,57.0,64.64912280701755,58.60964912280702,0.0,inf
28th Ave & Q St,171.0,31.883040935672515,27.404191033138403,31.15653021442495,1.0233180882546158
24th & N,199.0,28.92964824120603,22.876800670016753,28.25603015075377,1.0238397993935568
24th & J,415.0,19.710843373493976,16.920401606425703,23.23694779116466,0.8482544071897684
Wabash Trace,91.0,44.16483516483517,41.28076923076923,95.02893772893773,0.46475143488199083
19th & Vinton,884.0,15.652714932126697,15.098491704374057,22.029788838612365,0.7105249644831659
66th & Center,464.0,23.32112068965517,19.71257183908046,23.608764367816093,0.9878162332564493
67th & Frances,1341.0,23.038031319910516,18.94617201093711,23.889609743972162,0.9643536067274386
College of Saint Mary,317.0,18.602523659305994,15.95315457413249,25.417560462670874,0.7318768332085338
Aksarben Drive,1066.0,29.82082551594747,23.558020637898686,22.079299562226392,1.350623711223403
64th & Pine,979.0,15.031664964249234,13.371178072863467,28.550868232890704,0.5264871401330171
Ameristar,997.0,22.54062186559679,17.662470745570044,55.90518221330659,0.40319378227930464
67th & Pine,947.0,14.352692713833157,12.415205913410771,25.4062478000704,0.5649276834099598
Park Avenue & Woolworth,1237.0,15.170573969280518,13.19576933441121,23.55596874157909,0.6440225038379614
13th & William,1348.0,11.47626112759644,10.725642927794263,15.770215133531158,0.7277174743922947
The Durham Museum,1230.0,9.18130081300813,9.716720867208673,18.739430894308942,0.4899455519642509
Breakers Apartments,1542.0,8.926718547341116,9.931949848681366,24.15652831820147,0.36953648428921837
40th & Leavenworth,583.0,16.845626072041167,13.656575185820468,19.787535734705546,0.8513251118225633
Dodge Riverside Golf Club,649.0,16.41602465331279,14.710939907550076,39.645608628659474,0.41406917994558884
12th & Leavenworth,974.0,8.704312114989733,9.334650924024642,14.154175222450375,0.6149642757836963
14th & Jones,187.0,9.203208556149733,8.722905525846702,12.475757575757576,0.7376873508694223
9th & Jones,1031.0,9.594568380213385,8.879405108309085,18.14013902360168,0.5289137182317144
7th & Jones,159.0,10.044025157232705,11.163731656184487,23.871383647798744,0.4207558851813307
22nd & St. Mary,3058.0,8.064094179202092,7.844190102463483,13.93576956616525,0.5786615615962079
11th & Jackson,4165.0,10.858343337334935,9.77768307322929,18.099895958383353,0.5999119200630356
711 S Main St,137.0,23.18978102189781,18.17214111922141,44.43686131386862,0.5218591128230821
39th & Jackson,3883.0,5.551635333505022,4.216653790024894,13.335509485792771,0.41630470432491223
45th & Emile,4599.0,7.009349858664927,6.70811045879539,15.292965862143946,0.4583381615998896
17th & St Mary's,572.0,7.479020979020979,7.015384615384615,11.18962703962704,0.6683887633193414
15th & Howard,885.0,11.155932203389831,9.546647834274953,15.41662900188324,0.7236298027297058
42nd & Dewey,1292.0,6.601393188854489,5.985642414860681,9.70734004127967,0.680041407922521
16th & Harney,1800.0,8.215555555555556,7.268009259259259,12.012185185185185,0.6839351399350659
10th & Harney,619.0,11.718901453957997,10.508481421647819,18.382633279483038,0.6374985169854599
31st & Harney (Dewey Park),660.0,11.915151515151516,10.537752525252525,15.659696969696968,0.7608800820481066
12th & Harney,1493.0,14.021433355659745,13.545970082607726,19.27467068542085,0.7274538478245132
24th Ave & Harney,707.0,10.478076379066477,9.909688826025459,15.03979255068364,0.6966902198787438
University Drive South: Maverick Village,1379.0,8.410442349528644,6.672238336959149,18.94902102973169,0.44384574466049515
10th & Farnam,1254.0,13.07097288676236,11.496650717703348,18.14108187134503,0.7205178268562239
1819 Farnam,2246.0,7.546304541406946,7.719263876521223,11.88900267141585,0.6347298213289293
Arts & Sciences Hall,876.0,10.63013698630137,8.773420852359209,23.419463470319634,0.4539018154610306
34th & Farnam,905.0,12.577900552486188,10.972449355432781,17.022025782688768,0.738919134130192
8th & Farnam,141.0,11.156028368794326,9.787352245862884,16.883451536643026,0.6607670442611703
13th & Farnam,813.0,10.60639606396064,9.636182861828617,15.505514555145552,0.6840402507274984
24th & Farnam,1334.0,9.568215892053972,8.895589705147426,12.166191904047976,0.7864593923485954
Midtown Crossing: 32nd & Farnam,2716.0,12.635493372606774,10.837874324987727,15.580062592047128,0.8110040186267663
36th & Farnam,1416.0,12.168079096045197,10.250200094161958,15.357462335216573,0.7923235512772365
38th & Farnam,143.0,11.496503496503497,9.656410256410258,12.304778554778554,0.9343121004025574
W. Dale Clark Library: 15th & Farnam,1660.0,9.09156626506024,8.384206827309237,12.490381526104418,0.7278853929368944
44th & Farnam,530.0,13.99622641509434,13.652389937106918,16.98317610062893,0.8241230222288057
40th & Farnam,1831.0,13.44183506280721,11.826042235572547,15.813526306207901,0.8500213552957104
Pearl St & Willow Ave,926.0,11.26133909287257,9.468646508279338,21.083819294456443,0.5341223492573524
62nd & Dodge (Retired),1024.0,10.73046875,8.204866536458333,22.628336588541668,0.47420492920516294
10th & Douglas,375.0,9.44,8.681466666666667,16.523066666666665,0.5713225147874084
